# lambda flux err tem
# angstroms ergs^-1cm^-2a^-1 ergs^-1cm^-2a^-1 none
3689.689 -8.288 4.083 54.116
3690.539 -10.228 3.964 53.523
3691.389 5.535 4.251 54.623
3692.239 4.680 4.256 56.529
3693.090 -4.491 4.047 53.849
3693.940 -3.655 4.113 55.978
3694.791 0.226 4.226 57.617
3695.641 -6.117 4.215 55.393
3696.493 -3.321 4.295 55.516
3697.344 -2.776 4.363 55.454
3698.195 -5.208 4.370 57.651
3699.047 0.225 4.450 55.557
3699.899 2.508 4.418 56.862
3700.750 3.653 4.380 56.688
3701.603 3.357 4.337 56.964
3702.455 0.342 4.172 58.583
3703.308 1.233 4.113 56.574
3704.161 2.898 4.174 56.842
3705.014 -3.089 4.073 56.791
3705.867 -7.025 3.839 53.267
3706.720 -4.984 3.843 53.814
3707.574 -3.697 3.873 53.919
3708.428 -4.908 3.803 52.718
3709.282 -10.345 3.747 54.650
3710.136 -6.962 3.805 53.311
3710.990 -0.417 3.960 53.155
3711.845 0.208 4.114 54.475
3712.700 -0.621 4.086 55.446
3713.554 0.688 4.111 55.953
3714.410 0.711 4.076 58.934
3715.265 -5.798 3.943 58.735
3716.121 -4.503 3.873 57.764
3716.977 -5.182 3.879 59.037
3717.833 -4.525 3.864 57.706
3718.689 0.451 3.874 55.535
3719.545 0.349 3.918 55.588
3720.402 -4.150 3.762 53.390
3721.258 3.035 3.859 51.737
3722.115 -2.784 4.601 51.906
3722.972 -10.298 4.494 52.114
3723.830 5.089 4.724 52.089
3724.687 7.036 3.977 54.121
3725.545 7.128 4.058 54.806
3726.403 16.655 4.199 55.162
3727.261 21.481 4.376 57.544
3728.120 23.281 4.413 56.269
3728.978 29.284 4.554 58.334
3729.837 36.020 4.593 57.134
3730.696 27.616 4.411 55.681
3731.555 19.612 4.266 55.213
3732.414 10.053 4.015 53.826
3733.274 -1.323 3.861 54.470
3734.134 -7.332 3.698 53.779
3734.993 -5.413 3.741 50.893
3735.854 1.421 3.862 48.871
3736.714 5.509 3.960 48.923
3737.574 -0.392 3.887 49.190
3738.435 -7.417 3.838 49.816
3739.296 -3.618 3.907 50.395
3740.157 2.140 4.010 50.837
3741.018 -2.062 3.842 53.615
3741.880 -1.297 3.839 54.223
3742.741 -0.744 3.830 55.236
3743.604 -5.949 3.741 57.010
3744.466 -3.639 3.738 54.455
3745.328 -5.393 3.681 54.040
3746.190 -2.587 3.766 52.615
3747.053 -5.777 3.750 51.578
3747.916 -10.713 3.685 51.997
3748.779 -2.807 3.790 49.437
3749.642 -0.631 3.749 50.609
3750.506 -0.286 3.675 50.273
3751.369 -0.857 3.550 48.564
3752.233 -5.617 3.541 51.286
3753.097 -3.300 3.590 51.986
3753.961 -5.894 3.553 53.535
3754.826 -1.156 3.669 54.962
3755.691 1.629 4.083 57.639
3756.555 -0.110 4.050 57.723
3757.421 1.791 3.589 54.541
3758.286 2.915 3.571 54.310
3759.151 3.542 3.625 55.537
3760.017 5.358 4.186 54.054
3760.883 3.494 4.180 54.979
3761.749 5.006 4.151 53.938
3762.615 -1.772 3.933 53.324
3763.482 0.258 3.403 56.042
3764.348 -4.344 3.303 55.076
3765.216 8.354 3.459 52.905
3766.083 -0.446 3.364 53.887
3766.949 -10.779 3.257 55.465
3767.817 -3.798 3.251 53.174
3768.685 -0.951 3.347 53.365
3769.553 0.229 3.353 53.969
3770.421 -2.939 3.284 53.713
3771.289 -7.070 3.213 55.470
3772.157 -8.387 3.161 55.551
3773.026 -6.250 3.175 54.637
3773.895 -7.979 3.112 55.161
3774.764 -8.773 3.025 53.783
3775.633 -8.617 3.024 56.656
3776.503 -7.372 3.051 56.014
3777.373 -10.774 3.066 56.555
3778.242 -3.158 3.132 56.462
3779.113 -2.580 3.163 54.513
3779.983 -7.275 3.182 57.641
3780.853 -6.884 3.272 58.918
3781.724 -5.344 3.342 58.554
3782.595 -1.868 3.357 58.343
3783.466 -0.435 3.391 58.803
3784.337 -4.829 3.324 60.245
3785.209 -9.714 3.303 60.944
3786.080 -7.378 3.274 58.199
3786.952 -7.247 3.286 58.188
3787.824 -11.254 3.276 58.679
3788.697 -13.877 3.287 57.102
3789.569 -6.008 3.454 54.109
3790.442 -5.157 3.470 54.243
3791.315 -8.827 3.514 57.473
3792.188 -11.460 3.458 54.878
3793.061 -11.651 3.411 54.340
3793.935 -7.044 3.456 54.659
3794.808 -13.651 3.357 53.064
3795.682 -14.702 3.390 55.478
3796.556 -9.771 3.479 55.205
3797.430 -8.333 3.510 51.752
3798.305 -6.820 3.570 50.726
3799.179 -5.427 3.679 50.176
3800.054 -4.901 3.709 51.659
3800.929 -7.101 3.646 52.569
3801.805 1.909 3.649 43.977
3802.680 5.997 3.714 45.833
3803.556 1.920 3.653 46.671
3804.432 -0.179 3.568 47.749
3805.308 5.629 3.563 46.979
3806.184 2.622 3.450 48.439
3807.061 4.183 3.412 47.924
3807.938 2.053 3.292 47.971
3808.815 -0.398 3.169 47.596
3809.692 3.115 3.165 46.197
3810.569 6.100 3.277 48.075
3811.446 7.631 3.301 46.597
3812.324 2.685 3.248 47.660
3813.202 6.071 3.269 47.175
3814.080 2.488 3.177 44.097
3814.958 3.836 3.181 44.434
3815.837 4.549 3.174 44.843
3816.716 0.983 3.060 43.245
3817.595 0.160 3.049 43.329
3818.474 1.995 3.071 44.395
3819.353 0.481 3.141 45.650
3820.233 2.509 3.253 45.773
3821.113 7.105 3.320 44.873
3821.992 6.228 3.236 43.369
3822.873 1.339 3.080 42.103
3823.753 0.635 3.036 44.447
3824.634 0.744 2.984 43.598
3825.514 -3.975 2.837 43.986
3826.395 -1.634 2.803 42.338
3827.276 -0.191 2.787 41.503
3828.158 -5.059 2.774 42.870
3829.039 -3.439 2.785 43.258
3829.921 -6.590 2.740 44.394
3830.803 -4.915 2.798 44.932
3831.685 -2.842 2.878 43.809
3832.567 -1.924 2.902 44.086
3833.450 -6.765 2.838 46.641
3834.333 -10.013 2.744 46.822
3835.216 -7.002 2.720 45.291
3836.099 -4.385 2.692 46.042
3836.982 -2.533 2.719 43.971
3837.866 -2.341 2.737 43.755
3838.750 0.323 2.830 43.951
3839.634 -2.660 2.750 43.278
3840.518 -4.691 2.758 42.609
3841.403 0.843 2.797 41.283
3842.287 5.419 2.901 41.046
3843.172 0.380 2.851 43.736
3844.057 0.443 2.865 44.276
3844.942 2.676 2.825 42.973
3845.828 -4.706 2.774 45.207
3846.713 -0.740 2.876 44.782
3847.599 -0.480 2.884 44.628
3848.485 -3.890 2.831 45.516
3849.372 0.651 2.925 45.668
3850.258 7.508 2.987 43.421
3851.145 -2.033 2.835 43.835
3852.031 -2.013 2.861 44.271
3852.918 2.734 2.895 44.374
3853.806 0.155 2.887 44.689
3854.693 -1.402 2.796 44.199
3855.581 -5.445 2.751 45.716
3856.469 1.026 2.812 43.896
3857.357 2.453 2.849 41.487
3858.245 4.949 2.908 41.814
3859.134 6.945 2.963 42.317
3860.022 7.117 2.962 41.408
3860.911 5.119 2.918 40.985
3861.801 4.669 2.900 40.897
3862.690 3.608 2.930 42.087
3863.579 3.568 2.902 42.683
3864.469 7.186 2.891 42.478
3865.359 3.266 2.908 43.833
3866.249 6.231 2.998 44.112
3867.139 12.176 3.148 44.335
3868.030 17.612 3.275 44.584
3868.921 22.511 3.390 43.998
3869.812 25.755 3.408 43.026
3870.703 26.305 3.392 44.699
3871.594 18.296 3.207 43.618
3872.486 1.866 2.959 44.124
3873.377 7.240 3.014 44.769
3874.270 5.516 3.106 43.934
3875.162 -1.317 2.894 43.912
3876.054 4.102 2.973 43.961
3876.947 1.852 2.984 46.675
3877.840 -2.888 3.010 47.120
3878.732 -1.414 3.042 47.394
3879.625 2.280 3.071 47.480
3880.519 2.961 3.014 45.582
3881.413 -0.003 2.909 44.195
3882.307 -4.052 2.865 44.774
3883.201 -3.367 2.939 45.048
3884.095 -1.457 3.086 46.209
3884.989 -4.975 3.056 48.092
3885.884 2.129 3.103 46.819
3886.779 3.514 3.076 47.855
3887.674 -0.541 3.015 47.730
3888.569 1.330 3.010 47.725
3889.465 6.260 3.078 48.045
3890.360 3.928 3.067 48.219
3891.256 1.173 2.992 47.839
3892.152 2.854 2.997 47.911
3893.049 0.090 2.961 49.166
3893.945 3.939 3.029 48.625
3894.842 0.169 2.994 48.322
3895.739 1.095 3.043 49.457
3896.636 0.910 3.084 48.711
3897.533 3.827 3.115 46.683
3898.431 4.436 3.165 48.124
3899.329 2.371 3.115 47.630
3900.226 2.517 3.132 47.952
3901.125 -0.812 3.042 47.922
3902.023 2.704 3.037 47.923
3902.921 3.621 3.000 46.480
3903.821 3.298 2.928 46.030
3904.719 3.108 2.948 46.434
3905.618 -0.214 2.886 46.889
3906.518 2.495 2.894 45.764
3907.417 4.342 2.852 43.911
3908.317 -0.244 2.818 44.436
3909.218 4.866 2.872 43.513
3910.118 4.261 2.919 45.991
3911.018 3.618 2.945 46.816
3911.919 1.684 2.966 47.520
3912.820 1.997 2.962 48.866
3913.720 1.887 2.907 48.015
3914.622 0.085 2.827 47.152
3915.523 0.095 2.815 48.411
3916.425 3.260 2.844 48.284
3917.327 3.987 2.862 46.601
3918.229 0.073 2.795 47.609
3919.131 3.603 2.789 44.423
3920.034 3.563 2.777 43.128
3920.937 6.926 2.896 45.895
3921.840 4.587 2.878 44.506
3922.743 6.765 2.892 43.112
3923.646 8.337 2.875 44.413
3924.550 5.343 2.838 43.113
3925.453 2.060 2.756 42.530
3926.357 0.840 2.715 43.852
3927.262 2.173 2.667 42.790
3928.166 5.425 2.701 42.033
3929.071 2.699 2.753 42.656
3929.975 5.152 2.714 41.112
3930.880 0.853 2.792 39.340
3931.785 -2.151 2.786 39.932
3932.691 -5.933 3.117 40.834
3933.597 -7.783 3.007 38.190
3934.502 -4.402 2.376 36.535
3935.408 -0.705 2.422 34.491
3936.315 -2.736 2.365 33.924
3937.221 -0.970 2.356 34.923
3938.128 -0.632 2.351 33.551
3939.034 2.698 2.433 33.383
3939.942 -0.279 2.434 35.507
3940.850 -1.189 2.495 38.772
3941.757 4.960 2.597 39.721
3942.664 1.860 2.618 41.521
3943.572 -0.217 2.601 42.041
3944.480 2.847 2.641 40.594
3945.388 3.223 2.655 41.708
3946.297 3.586 2.641 43.406
3947.206 4.627 2.653 42.717
3948.115 1.729 2.677 46.726
3949.024 1.351 2.699 46.831
3949.934 6.281 2.737 45.805
3950.844 4.331 2.745 47.194
3951.753 6.514 2.749 46.120
3952.663 5.416 2.781 48.957
3953.573 3.208 2.780 47.649
3954.483 1.706 2.768 48.420
3955.394 6.378 2.920 49.702
3956.305 4.831 2.898 48.891
3957.217 -0.069 2.836 50.137
3958.128 -5.831 2.749 50.479
3959.040 -0.846 2.749 49.152
3959.951 1.173 2.718 49.237
3960.863 -4.042 2.575 47.604
3961.775 -0.524 2.631 47.518
3962.688 2.694 2.703 49.160
3963.600 1.589 2.670 45.881
3964.512 -1.631 2.636 43.708
3965.425 -0.938 2.566 42.645
3966.338 -4.003 2.549 44.786
3967.252 -4.350 2.532 45.275
3968.166 3.345 2.584 42.546
3969.080 -0.385 2.514 41.778
3969.994 -1.361 2.508 40.959
3970.908 1.998 2.802 40.934
3971.822 3.661 2.827 39.590
3972.737 1.281 2.579 39.878
3973.652 -2.011 2.546 41.312
3974.567 -2.785 2.512 41.435
3975.482 -1.730 2.561 43.040
3976.397 -1.752 2.565 45.500
3977.314 -3.238 2.531 47.031
3978.230 2.488 2.558 46.481
3979.145 0.386 2.572 47.959
3980.062 -1.084 2.580 49.666
3980.978 -5.157 2.585 50.375
3981.895 -2.678 2.620 50.598
3982.812 2.117 2.694 50.608
3983.729 0.639 2.643 50.544
3984.647 -2.301 2.579 51.504
3985.564 1.483 2.551 49.680
3986.482 -1.703 2.502 50.403
3987.400 -4.999 2.508 51.167
3988.318 0.592 2.632 49.229
3989.237 5.670 2.754 50.734
3990.156 5.565 2.765 51.085
3991.074 -1.585 2.717 52.637
3991.994 -0.614 2.651 50.229
3992.913 0.894 2.603 50.564
3993.832 1.402 2.599 51.930
3994.751 2.140 2.598 52.416
3995.671 -2.091 2.592 52.579
3996.592 3.312 2.717 51.670
3997.512 -0.064 2.703 51.283
3998.433 -3.265 2.589 49.535
3999.354 0.654 2.563 50.090
4000.275 1.858 2.558 51.855
4001.196 -1.827 2.535 51.786
4002.117 -0.297 2.570 51.495
4003.039 1.328 2.619 53.096
4003.960 -0.085 2.597 52.666
4004.883 2.043 2.539 51.229
4005.805 0.967 2.524 52.273
4006.727 -0.418 2.528 51.655
4007.650 -1.598 2.571 50.689
4008.573 1.580 2.646 49.029
4009.496 8.770 2.720 49.357
4010.420 0.585 2.569 51.660
4011.343 -1.109 2.517 52.801
4012.267 -1.852 2.501 54.143
4013.190 -3.213 2.519 52.817
4014.115 -0.906 2.563 51.962
4015.040 -0.598 2.597 53.510
4015.964 5.873 2.596 52.411
4016.889 0.743 2.532 51.835
4017.814 0.495 2.533 52.987
4018.739 3.083 2.546 51.488
4019.665 1.974 2.540 52.271
4020.590 -0.466 2.529 53.450
4021.516 -1.472 2.526 54.200
4022.442 1.125 2.571 53.068
4023.368 -0.587 2.541 53.030
4024.295 -1.993 2.559 52.885
4025.222 3.828 2.586 52.811
4026.148 -1.972 2.464 53.715
4027.076 -4.705 2.390 52.282
4028.003 2.367 2.471 51.811
4028.931 -0.978 2.464 53.389
4029.859 -1.044 2.495 56.675
4030.787 -4.606 2.438 54.024
4031.714 -3.573 2.422 52.584
4032.643 -0.932 2.436 50.108
4033.572 -0.419 2.411 47.546
4034.501 1.984 2.447 49.079
4035.429 -0.954 2.431 50.108
4036.359 -5.983 2.392 50.602
4037.289 -1.507 2.463 50.332
4038.218 -4.948 2.456 52.519
4039.148 -3.936 2.470 54.300
4040.079 0.352 2.529 55.162
4041.009 -0.631 2.486 54.116
4041.940 0.171 2.478 53.886
4042.871 -1.492 2.488 54.766
4043.801 -2.872 2.478 52.855
4044.733 -1.401 2.451 52.668
4045.664 -0.135 2.462 50.556
4046.596 -4.038 2.330 49.537
4047.527 -3.944 2.287 47.337
4048.459 -4.432 2.297 48.383
4049.392 0.635 2.380 50.936
4050.324 -0.562 2.406 50.364
4051.257 1.476 2.472 51.564
4052.190 1.557 2.510 53.505
4053.124 -2.458 2.469 53.991
4054.057 -2.195 2.381 52.678
4054.990 -3.150 2.389 53.455
4055.924 -3.317 2.327 52.333
4056.858 4.908 2.411 51.857
4057.792 -1.647 2.353 51.317
4058.727 -1.705 2.357 50.088
4059.662 -2.414 2.390 51.366
4060.596 -1.457 2.394 50.611
4061.531 2.202 2.459 49.826
4062.467 0.608 2.451 50.974
4063.402 -0.783 2.423 52.161
4064.337 -1.289 2.403 51.397
4065.274 -2.828 2.326 49.339
4066.210 -0.392 2.324 48.320
4067.146 1.486 2.413 50.231
4068.083 2.039 2.424 50.218
4069.020 7.148 2.470 49.799
4069.957 3.250 2.420 50.812
4070.894 -1.378 2.400 51.949
4071.832 0.751 2.425 51.963
4072.770 2.399 2.477 51.353
4073.707 2.391 2.506 51.808
4074.645 4.748 2.541 51.052
4075.584 3.986 2.535 51.879
4076.522 2.717 2.495 52.118
4077.461 3.601 2.492 51.328
4078.400 -0.193 2.438 52.729
4079.339 0.037 2.401 51.122
4080.279 2.097 2.419 49.856
4081.218 1.628 2.478 53.314
4082.158 0.045 2.450 55.212
4083.098 -1.109 2.482 56.128
4084.038 0.434 2.467 56.002
4084.979 -2.298 2.454 56.075
4085.919 -1.238 2.474 56.093
4086.860 5.928 2.529 54.301
4087.802 -2.162 2.442 55.595
4088.743 -0.975 2.435 56.874
4089.684 2.926 2.488 56.716
4090.626 3.232 2.521 59.265
4091.568 -0.908 2.469 59.403
4092.510 -3.339 2.411 59.084
4093.453 -1.647 2.500 60.181
4094.396 0.327 2.508 58.629
4095.339 -0.948 2.500 58.552
4096.282 -0.282 2.476 57.862
4097.225 -0.312 2.454 58.449
4098.168 -0.228 2.433 58.029
4099.112 -2.407 2.373 57.264
4100.056 -6.751 2.328 57.309
4101.001 -4.687 2.353 57.128
4101.945 0.007 2.362 54.624
4102.890 -4.043 2.300 55.601
4103.834 1.003 2.380 55.766
4104.779 -2.087 2.372 53.406
4105.725 -3.786 2.371 55.614
4106.670 1.230 2.395 54.075
4107.615 -1.544 2.381 55.385
4108.562 -2.720 2.379 56.293
4109.508 -3.499 2.367 56.797
4110.454 0.432 2.403 55.710
4111.400 1.533 2.423 55.699
4112.347 -0.658 2.363 55.130
4113.294 -0.418 2.351 54.813
4114.241 -4.039 2.292 54.729
4115.189 -0.947 2.332 54.864
4116.137 -2.912 2.336 56.373
4117.085 1.429 2.389 55.122
4118.033 2.211 2.379 54.842
4118.980 -2.678 2.308 54.168
4119.930 -2.757 2.274 55.082
4120.878 -0.459 2.319 55.252
4121.827 -2.906 2.295 53.760
4122.776 0.533 2.359 54.598
4123.726 -0.680 2.733 54.349
4124.675 -3.316 2.760 55.364
4125.625 0.115 2.824 54.886
4126.576 -1.442 2.347 55.393
4127.526 -0.543 2.330 55.530
4128.477 -1.076 2.330 53.806
4129.428 -3.127 2.270 53.101
4130.378 -1.142 2.315 54.116
4131.330 1.005 2.301 53.111
4132.281 -1.927 2.256 52.143
4133.232 -2.746 2.214 52.129
4134.185 0.332 2.206 49.956
4135.136 2.070 2.271 51.733
4136.088 0.182 2.274 49.716
4137.041 2.284 2.309 50.733
4137.994 0.421 2.295 52.394
4138.947 0.714 2.311 53.885
4139.899 0.053 2.306 54.184
4140.853 -2.266 2.334 54.168
4141.807 -0.295 2.320 53.119
4142.760 -0.158 2.378 52.931
4143.714 -1.205 2.347 52.503
4144.669 -2.018 2.313 51.857
4145.623 -4.131 2.281 50.835
4146.578 -0.186 2.353 50.450
4147.533 -1.812 2.390 51.356
4148.488 -3.561 2.328 51.501
4149.443 -3.014 2.272 51.318
4150.398 2.549 2.278 49.866
4151.354 2.668 2.301 52.816
4152.311 -1.215 2.283 53.180
4153.267 -4.913 2.239 52.132
4154.223 -2.923 2.287 51.910
4155.180 2.406 2.290 49.417
4156.137 -0.429 2.257 50.526
4157.093 -1.409 2.256 51.848
4158.051 2.482 2.231 49.033
4159.008 -0.791 2.240 52.608
4159.966 -3.941 2.220 53.423
4160.924 -1.345 2.250 50.546
4161.882 -1.171 2.275 53.161
4162.841 -1.498 2.276 53.739
4163.800 0.376 2.305 54.243
4164.758 4.120 2.290 52.186
4165.718 -0.002 2.273 52.578
4166.677 1.065 2.344 54.709
4167.636 -2.171 2.312 53.494
4168.596 -1.950 2.275 52.860
4169.556 -2.293 2.208 50.718
4170.517 -3.316 2.214 50.962
4171.477 -1.475 2.266 51.074
4172.437 -1.235 2.299 50.946
4173.398 -5.485 2.234 51.833
4174.359 -3.345 2.241 50.361
4175.321 -3.279 2.202 49.640
4176.282 -5.516 2.151 49.541
4177.244 -2.194 2.157 49.744
4178.206 0.323 2.178 49.866
4179.167 3.773 2.227 49.143
4180.130 -1.794 2.229 50.153
4181.093 -7.754 2.271 50.422
4182.056 -2.259 2.477 49.872
4183.019 -1.325 2.583 51.868
4183.982 -4.992 2.461 51.419
4184.945 -3.826 2.387 50.734
4185.910 -1.950 2.340 51.007
4186.873 0.928 2.337 50.096
4187.837 0.108 2.278 50.731
4188.802 -2.822 2.241 51.376
4189.767 -0.681 2.220 49.677
4190.731 -2.352 2.233 50.476
4191.696 -1.155 2.223 50.715
4192.662 -2.868 2.204 51.482
4193.627 -5.617 2.220 52.335
4194.593 -3.513 2.230 51.476
4195.559 0.688 2.316 52.541
4196.525 0.342 2.275 52.188
4197.491 -8.290 2.272 51.912
4198.458 -3.194 2.287 51.010
4199.425 4.455 2.297 49.159
4200.392 -1.602 2.247 49.879
4201.359 -1.586 2.252 50.270
4202.327 0.765 2.297 50.278
4203.295 -3.043 2.358 50.473
4204.263 0.914 2.427 50.417
4205.230 1.881 2.332 49.936
4206.199 0.164 2.257 50.571
4207.168 0.703 2.255 50.209
4208.136 -3.824 2.185 51.212
4209.105 2.102 2.247 52.179
4210.075 2.398 2.251 51.519
4211.043 -2.400 2.208 53.017
4212.014 0.376 2.220 51.312
4212.983 1.752 2.285 52.536
4213.954 5.340 2.307 52.303
4214.925 -2.136 2.244 52.726
4215.895 0.827 2.240 52.589
4216.866 -3.143 2.181 51.871
4217.837 -3.413 2.183 51.961
4218.809 -1.666 2.202 52.198
4219.780 -2.894 2.223 53.466
4220.751 -1.154 2.200 52.933
4221.724 -0.764 2.218 53.207
4222.696 0.317 2.204 52.332
4223.668 -0.532 2.153 52.540
4224.641 -2.641 2.156 51.663
4225.614 -5.801 2.126 51.090
4226.587 -3.447 2.100 48.100
4227.560 1.060 2.095 45.082
4228.534 -1.078 2.033 44.273
4229.507 -1.763 2.068 45.156
4230.481 4.949 2.185 46.482
4231.456 -5.676 2.152 50.344
4232.430 -1.492 2.211 52.097
4233.405 1.853 2.236 52.238
4234.379 -5.191 2.174 53.599
4235.355 -2.422 2.199 51.696
4236.331 2.542 2.242 51.484
4237.306 -0.640 2.222 52.088
4238.282 -1.123 2.184 50.064
4239.258 2.091 2.168 49.409
4240.234 -0.175 2.150 50.369
4241.210 -1.725 2.161 50.858
4242.187 -1.421 2.235 53.383
4243.164 0.091 2.269 53.395
4244.141 0.338 2.254 53.560
4245.118 0.741 2.242 54.478
4246.096 -0.088 2.209 54.858
4247.074 -2.024 2.210 55.931
4248.052 -0.009 2.206 54.999
4249.030 -1.750 2.196 53.875
4250.009 -3.826 2.160 51.956
4250.987 -3.372 2.177 52.614
4251.966 -2.367 2.174 51.755
4252.945 -2.520 2.128 49.787
4253.925 0.182 2.192 51.272
4254.905 4.495 2.219 50.331
4255.884 -3.594 2.096 50.248
4256.865 -1.811 2.129 51.921
4257.845 -2.905 2.118 51.469
4258.825 2.201 2.194 51.277
4259.806 2.414 2.180 51.370
4260.787 0.234 2.155 50.833
4261.768 -2.389 2.075 50.096
4262.750 -3.498 2.073 50.102
4263.731 -0.152 2.115 51.538
4264.713 2.049 2.145 51.240
4265.695 -2.123 2.124 51.807
4266.677 2.033 2.265 55.343
4267.660 2.134 2.278 55.259
4268.643 -3.086 2.201 55.550
4269.625 -1.385 2.157 53.004
4270.608 1.134 2.181 51.328
4271.592 0.057 2.163 51.361
4272.576 -1.692 2.089 48.025
4273.560 -1.839 2.073 47.761
4274.544 -0.348 2.067 47.160
4275.528 1.138 2.053 46.904
4276.513 -0.727 2.025 48.210
4277.498 -1.987 2.027 49.452
4278.483 2.592 2.152 51.349
4279.468 1.262 2.144 52.236
4280.454 -4.087 2.120 53.582
4281.439 -2.778 2.156 53.297
4282.426 -2.333 2.130 52.296
4283.412 0.158 2.144 52.780
4284.398 -2.393 2.092 52.384
4285.384 2.421 2.145 51.899
4286.371 1.416 2.164 50.978
4287.358 -0.195 2.119 50.454
4288.346 1.894 2.123 50.448
4289.333 -0.066 2.082 51.311
4290.321 -0.897 2.070 50.167
4291.310 1.261 2.068 48.387
4292.297 -1.194 2.042 48.232
4293.286 -0.449 2.103 50.042
4294.274 -0.135 2.112 50.199
4295.264 2.852 2.110 49.780
4296.252 0.073 2.077 51.523
4297.242 -0.147 2.051 50.190
4298.232 -4.220 2.011 49.663
4299.222 -4.691 1.943 49.081
4300.211 -2.046 1.959 48.782
4301.202 1.332 1.967 46.389
4302.192 -0.206 1.940 44.287
4303.183 0.359 1.970 43.537
4304.174 1.746 2.007 43.831
4305.165 -2.111 1.988 44.966
4306.156 -0.951 1.990 45.149
4307.148 0.112 1.997 44.220
4308.140 1.302 2.000 43.907
4309.132 2.943 2.028 44.037
4310.125 4.478 2.012 42.885
4311.117 0.432 1.966 42.735
4312.110 -3.082 1.971 44.484
4313.103 1.618 2.075 47.086
4314.096 4.595 2.144 47.932
4315.090 4.715 2.186 48.994
4316.083 3.512 2.234 52.887
4317.077 3.970 2.246 55.030
4318.071 4.781 2.272 56.925
4319.065 7.264 2.306 57.918
4320.060 7.263 2.310 58.238
4321.055 3.426 2.278 60.421
4322.050 7.347 2.296 59.328
4323.045 4.369 2.218 57.327
4324.041 3.697 2.199 55.919
4325.037 5.947 2.239 55.112
4326.033 5.944 2.221 53.181
4327.029 4.296 2.193 51.256
4328.026 4.151 2.205 52.353
4329.022 2.796 2.265 54.066
4330.019 2.334 2.309 56.690
4331.016 3.339 2.327 59.539
4332.013 6.877 2.345 60.172
4333.011 7.366 2.326 60.274
4334.009 2.265 2.290 61.589
4335.007 3.015 2.367 63.718
4336.005 4.359 2.464 63.457
4337.004 6.277 2.471 62.522
4338.002 1.539 2.372 61.506
4339.002 3.047 2.394 61.168
4340.001 5.855 2.402 59.928
4341.000 4.863 2.359 58.793
4342.000 10.848 2.378 56.333
4343.000 12.159 2.398 55.493
4344.000 8.138 2.362 56.461
4345.000 5.560 2.321 55.985
4346.000 1.135 2.282 58.693
4347.001 0.891 2.331 60.244
4348.003 3.956 2.420 61.490
4349.004 6.201 2.723 60.128
4350.005 1.482 2.594 60.851
4351.007 4.675 2.392 59.944
4352.009 5.206 2.348 58.483
4353.012 6.140 2.328 57.679
4354.014 7.268 2.330 55.631
4355.016 1.666 2.309 56.039
4356.019 7.681 2.366 56.330
4357.022 8.007 2.324 56.882
4358.026 9.549 2.310 56.398
4359.029 11.518 2.373 55.959
4360.033 7.575 2.385 57.184
4361.038 8.993 2.409 57.413
4362.042 10.166 2.398 58.644
4363.046 10.661 2.382 58.846
4364.051 16.325 2.448 59.040
4365.056 12.669 2.408 59.209
4366.061 11.407 2.402 60.403
